type,sex,id,cancer,year,id_label,cancer_label,cases_pred,pop,APC,cases_base,change,percent,population,risk
1,0,36,19,2020,Australia,Kaposi sarcoma,3,25499881,0,3,0,0.0,"{'cases': 3, 'change': 0, 'percent': 0}","{'change': 0, 'percent': 0}"
1,0,36,19,2025,Australia,Kaposi sarcoma,4,26879753,0,3,1,33.3333,"{'cases': 4, 'change': 1, 'percent': 33.3333}","{'change': 0, 'percent': 0}"
1,0,36,19,2030,Australia,Kaposi sarcoma,5,28177480,0,3,2,66.6667,"{'cases': 5, 'change': 2, 'percent': 66.6667}","{'change': 0, 'percent': 0}"
1,0,36,19,2035,Australia,Kaposi sarcoma,6,29410247,0,3,3,100.0,"{'cases': 6, 'change': 3, 'percent': 100}","{'change': 0, 'percent': 0}"
1,0,36,19,2040,Australia,Kaposi sarcoma,7,30572490,0,3,4,133.3333,"{'cases': 7, 'change': 4, 'percent': 133.3333}","{'change': 0, 'percent': 0}"
1,0,36,2,2020,Australia,Salivary glands,108,25499881,0,108,0,0.0,"{'cases': 108, 'change': 0, 'percent': 0}","{'change': 0, 'percent': 0}"
1,0,36,2,2025,Australia,Salivary glands,124,26879753,0,108,16,14.8148,"{'cases': 124, 'change': 16, 'percent': 14.8148}","{'change': 0, 'percent': 0}"
1,0,36,2,2030,Australia,Salivary glands,145,28177480,0,108,37,34.2593,"{'cases': 145, 'change': 37, 'percent': 34.2593}","{'change': 0, 'percent': 0}"
1,0,36,2,2035,Australia,Salivary glands,168,29410247,0,108,60,55.5556,"{'cases': 168, 'change': 60, 'percent': 55.5556}","{'change': 0, 'percent': 0}"
1,0,36,2,2040,Australia,Salivary glands,189,30572490,0,108,81,75.0,"{'cases': 189, 'change': 81, 'percent': 75}","{'change': 0, 'percent': 0}"
1,0,36,20,2020,Australia,Breast,3132,12801256,0,3132,0,0.0,"{'cases': 3132, 'change': 0, 'percent': 0}","{'change': 0, 'percent': 0}"
1,0,36,20,2025,Australia,Breast,3520,13501945,0,3132,388,12.3882,"{'cases': 3520, 'change': 388, 'percent': 12.3882}","{'change': 0, 'percent': 0}"
1,0,36,20,2030,Australia,Breast,3968,14167763,0,3132,836,26.6922,"{'cases': 3968, 'change': 836, 'percent': 26.6922}","{'change': 0, 'percent': 0}"
1,0,36,20,2035,Australia,Breast,4442,14803175,0,3132,1310,41.8263,"{'cases': 4442, 'change': 1310, 'percent': 41.8263}","{'change': 0, 'percent': 0}"
1,0,36,20,2040,Australia,Breast,4881,15400539,0,3132,1749,55.8429,"{'cases': 4881, 'change': 1749, 'percent': 55.8429}","{'change': 0, 'percent': 0}"
1,0,36,21,2020,Australia,Vulva,86,12801256,0,86,0,0.0,"{'cases': 86, 'change': 0, 'percent': 0}","{'change': 0, 'percent': 0}"
1,0,36,21,2025,Australia,Vulva,98,13501945,0,86,12,13.9535,"{'cases': 98, 'change': 12, 'percent': 13.9535}","{'change': 0, 'percent': 0}"
1,0,36,21,2030,Australia,Vulva,114,14167763,0,86,28,32.5581,"{'cases': 114, 'change': 28, 'percent': 32.5581}","{'change': 0, 'percent': 0}"
1,0,36,21,2035,Australia,Vulva,132,14803175,0,86,46,53.4884,"{'cases': 132, 'change': 46, 'percent': 53.4884}","{'change': 0, 'percent': 0}"
1,0,36,21,2040,Australia,Vulva,149,15400539,0,86,63,73.2558,"{'cases': 149, 'change': 63, 'percent': 73.2558}","{'change': 0, 'percent': 0}"
1,0,36,22,2020,Australia,Vagina,28,12801256,0,28,0,0.0,"{'cases': 28, 'change': 0, 'percent': 0}","{'change': 0, 'percent': 0}"
1,0,36,22,2025,Australia,Vagina,31,13501945,0,28,3,10.7143,"{'cases': 31, 'change': 3, 'percent': 10.7143}","{'change': 0, 'percent': 0}"
1,0,36,22,2030,Australia,Vagina,36,14167763,0,28,8,28.5714,"{'cases': 36, 'change': 8, 'percent': 28.5714}","{'change': 0, 'percent': 0}"
1,0,36,22,2035,Australia,Vagina,40,14803175,0,28,12,42.8571,"{'cases': 40, 'change': 12, 'percent': 42.8571}","{'change': 0, 'percent': 0}"
1,0,36,22,2040,Australia,Vagina,43,15400539,0,28,15,53.5714,"{'cases': 43, 'change': 15, 'percent': 53.5714}","{'change': 0, 'percent': 0}"
1,0,36,23,2020,Australia,Cervix uteri,328,12801256,0,328,0,0.0,"{'cases': 328, 'change': 0, 'percent': 0}","{'change': 0, 'percent': 0}"
1,0,36,23,2025,Australia,Cervix uteri,361,13501945,0,328,33,10.061,"{'cases': 361, 'change': 33, 'percent': 10.061}","{'change': 0, 'percent': 0}"
1,0,36,23,2030,Australia,Cervix uteri,397,14167763,0,328,69,21.0366,"{'cases': 397, 'change': 69, 'percent': 21.0366}","{'change': 0, 'percent': 0}"
1,0,36,23,2035,Australia,Cervix uteri,434,14803175,0,328,106,32.3171,"{'cases': 434, 'change': 106, 'percent': 32.3171}","{'change': 0, 'percent': 0}"
1,0,36,23,2040,Australia,Cervix uteri,468,15400539,0,328,140,42.682900000000004,"{'cases': 468, 'change': 140, 'percent': 42.682900000000004}","{'change': 0, 'percent': 0}"
1,0,36,24,2020,Australia,Corpus uteri,571,12801256,0,571,0,0.0,"{'cases': 571, 'change': 0, 'percent': 0}","{'change': 0, 'percent': 0}"
1,0,36,24,2025,Australia,Corpus uteri,650,13501945,0,571,79,13.8354,"{'cases': 650, 'change': 79, 'percent': 13.8354}","{'change': 0, 'percent': 0}"
1,0,36,24,2030,Australia,Corpus uteri,738,14167763,0,571,167,29.2469,"{'cases': 738, 'change': 167, 'percent': 29.2469}","{'change': 0, 'percent': 0}"
1,0,36,24,2035,Australia,Corpus uteri,827,14803175,0,571,256,44.8336,"{'cases': 827, 'change': 256, 'percent': 44.8336}","{'change': 0, 'percent': 0}"
1,0,36,24,2040,Australia,Corpus uteri,910,15400539,0,571,339,59.3695,"{'cases': 910, 'change': 339, 'percent': 59.3695}","{'change': 0, 'percent': 0}"
1,0,36,25,2020,Australia,Ovary,1046,12801256,0,1046,0,0.0,"{'cases': 1046, 'change': 0, 'percent': 0}","{'change': 0, 'percent': 0}"
1,0,36,25,2025,Australia,Ovary,1183,13501945,0,1046,137,13.0975,"{'cases': 1183, 'change': 137, 'percent': 13.0975}","{'change': 0, 'percent': 0}"
1,0,36,25,2030,Australia,Ovary,1334,14167763,0,1046,288,27.5335,"{'cases': 1334, 'change': 288, 'percent': 27.5335}","{'change': 0, 'percent': 0}"
1,0,36,25,2035,Australia,Ovary,1486,14803175,0,1046,440,42.065,"{'cases': 1486, 'change': 440, 'percent': 42.065}","{'change': 0, 'percent': 0}"
1,0,36,25,2040,Australia,Ovary,1627,15400539,0,1046,581,55.5449,"{'cases': 1627, 'change': 581, 'percent': 55.5449}","{'change': 0, 'percent': 0}"
1,0,36,26,2020,Australia,Penis,21,12698625,0,21,0,0.0,"{'cases': 21, 'change': 0, 'percent': 0}","{'change': 0, 'percent': 0}"
1,0,36,26,2025,Australia,Penis,24,13377808,0,21,3,14.2857,"{'cases': 24, 'change': 3, 'percent': 14.2857}","{'change': 0, 'percent': 0}"
1,0,36,26,2030,Australia,Penis,29,14009717,0,21,8,38.0952,"{'cases': 29, 'change': 8, 'percent': 38.0952}","{'change': 0, 'percent': 0}"
1,0,36,26,2035,Australia,Penis,33,14607072,0,21,12,57.1429,"{'cases': 33, 'change': 12, 'percent': 57.1429}","{'change': 0, 'percent': 0}"
1,0,36,26,2040,Australia,Penis,36,15171951,0,21,15,71.4286,"{'cases': 36, 'change': 15, 'percent': 71.4286}","{'change': 0, 'percent': 0}"
1,0,36,27,2020,Australia,Prostate,3455,12698625,0,3455,0,0.0,"{'cases': 3455, 'change': 0, 'percent': 0}","{'change': 0, 'percent': 0}"
1,0,36,27,2025,Australia,Prostate,4110,13377808,0,3455,655,18.958,"{'cases': 4110, 'change': 655, 'percent': 18.958}","{'change': 0, 'percent': 0}"
