Year,Sex,Cancer_Type,Aust_Mortality_to_incidence_ratio,Segi_Mortality_to_incidence_ratio,WHO_Mortality_to_incidence_ratio
2001,Female,Ovarian cancer,0.72,0.64,0.67
2002,Female,Ovarian cancer,0.66,0.6,0.62
2003,Female,Ovarian cancer,0.66,0.59,0.61
2004,Female,Ovarian cancer,0.65,0.6,0.61
2005,Female,Ovarian cancer,0.68,0.6,0.63
2006,Female,Ovarian cancer,0.61,0.54,0.56
2007,Female,Ovarian cancer,0.63,0.57,0.58
2008,Female,Ovarian cancer,0.66,0.58,0.6
2009,Female,Ovarian cancer,0.64,0.58,0.59
2010,Female,Ovarian cancer,0.67,0.61,0.62
2011,Female,Ovarian cancer,,,
1968,Persons,Ovarian cancer,,,
1969,Persons,Ovarian cancer,,,
1970,Persons,Ovarian cancer,,,
1971,Persons,Ovarian cancer,,,
1972,Persons,Ovarian cancer,,,
1973,Persons,Ovarian cancer,,,
1974,Persons,Ovarian cancer,,,
1975,Persons,Ovarian cancer,,,
1976,Persons,Ovarian cancer,,,
1977,Persons,Ovarian cancer,,,
1978,Persons,Ovarian cancer,,,
1979,Persons,Ovarian cancer,,,
1980,Persons,Ovarian cancer,,,
1981,Persons,Ovarian cancer,,,
1982,Persons,Ovarian cancer,,,
1983,Persons,Ovarian cancer,,,
1984,Persons,Ovarian cancer,,,
1985,Persons,Ovarian cancer,,,
1986,Persons,Ovarian cancer,,,
1987,Persons,Ovarian cancer,,,
1988,Persons,Ovarian cancer,,,
1989,Persons,Ovarian cancer,,,
1990,Persons,Ovarian cancer,,,
1991,Persons,Ovarian cancer,,,
1992,Persons,Ovarian cancer,,,
1993,Persons,Ovarian cancer,,,
1994,Persons,Ovarian cancer,,,
1995,Persons,Ovarian cancer,,,
1996,Persons,Ovarian cancer,,,
1997,Persons,Ovarian cancer,,,
1998,Persons,Ovarian cancer,,,
1999,Persons,Ovarian cancer,,,
2000,Persons,Ovarian cancer,,,
2001,Persons,Ovarian cancer,,,
2002,Persons,Ovarian cancer,,,
2003,Persons,Ovarian cancer,,,
2004,Persons,Ovarian cancer,,,
2005,Persons,Ovarian cancer,,,
2006,Persons,Ovarian cancer,,,
2007,Persons,Ovarian cancer,,,
2008,Persons,Ovarian cancer,,,
2009,Persons,Ovarian cancer,,,
2010,Persons,Ovarian cancer,,,
2011,Persons,Ovarian cancer,,,
1968,Male,Pancreatic cancer,,,
1969,Male,Pancreatic cancer,,,
1970,Male,Pancreatic cancer,,,
1971,Male,Pancreatic cancer,,,
1972,Male,Pancreatic cancer,,,
1973,Male,Pancreatic cancer,,,
1974,Male,Pancreatic cancer,,,
1975,Male,Pancreatic cancer,,,
1976,Male,Pancreatic cancer,,,
1977,Male,Pancreatic cancer,,,
1978,Male,Pancreatic cancer,,,
1979,Male,Pancreatic cancer,,,
1980,Male,Pancreatic cancer,,,
1981,Male,Pancreatic cancer,,,
1982,Male,Pancreatic cancer,0.97,0.96,0.97
1983,Male,Pancreatic cancer,1.04,1.02,1.02
1984,Male,Pancreatic cancer,1.01,1,1.01
1985,Male,Pancreatic cancer,1,0.99,0.99
1986,Male,Pancreatic cancer,0.99,0.97,0.97
1987,Male,Pancreatic cancer,1,0.99,0.99
1988,Male,Pancreatic cancer,0.99,0.97,0.98
1989,Male,Pancreatic cancer,1.02,0.99,1
1990,Male,Pancreatic cancer,0.96,0.95,0.96
1991,Male,Pancreatic cancer,0.98,0.97,0.97
1992,Male,Pancreatic cancer,0.96,0.96,0.96
1993,Male,Pancreatic cancer,0.98,0.98,0.98
1994,Male,Pancreatic cancer,0.95,0.92,0.93
1995,Male,Pancreatic cancer,0.97,0.98,0.98
1996,Male,Pancreatic cancer,0.93,0.9,0.91
1997,Male,Pancreatic cancer,0.92,0.89,0.9
1998,Male,Pancreatic cancer,0.93,0.91,0.92
1999,Male,Pancreatic cancer,0.95,0.91,0.92
2000,Male,Pancreatic cancer,0.93,0.91,0.92
2001,Male,Pancreatic cancer,0.98,0.95,0.96
2002,Male,Pancreatic cancer,1.01,0.99,1
2003,Male,Pancreatic cancer,0.87,0.86,0.86
2004,Male,Pancreatic cancer,1,0.98,0.99
2005,Male,Pancreatic cancer,0.83,0.83,0.83
2006,Male,Pancreatic cancer,0.89,0.85,0.87
2007,Male,Pancreatic cancer,0.89,0.88,0.88
2008,Male,Pancreatic cancer,0.92,0.91,0.91
2009,Male,Pancreatic cancer,0.87,0.84,0.85
2010,Male,Pancreatic cancer,0.87,0.85,0.86
2011,Male,Pancreatic cancer,,,
1968,Female,Pancreatic cancer,,,
1969,Female,Pancreatic cancer,,,
1970,Female,Pancreatic cancer,,,
1971,Female,Pancreatic cancer,,,
1972,Female,Pancreatic cancer,,,
1973,Female,Pancreatic cancer,,,
1974,Female,Pancreatic cancer,,,
1975,Female,Pancreatic cancer,,,
1976,Female,Pancreatic cancer,,,
1977,Female,Pancreatic cancer,,,
1978,Female,Pancreatic cancer,,,
1979,Female,Pancreatic cancer,,,
1980,Female,Pancreatic cancer,,,
1981,Female,Pancreatic cancer,,,
1982,Female,Pancreatic cancer,0.99,0.99,0.99
1983,Female,Pancreatic cancer,0.93,0.92,0.92
1984,Female,Pancreatic cancer,0.96,0.93,0.94
1985,Female,Pancreatic cancer,0.99,0.97,0.98
1986,Female,Pancreatic cancer,0.92,0.88,0.9
1987,Female,Pancreatic cancer,1.03,1.04,1.03
1988,Female,Pancreatic cancer,0.91,0.88,0.89
1989,Female,Pancreatic cancer,1.04,1.01,1.02
1990,Female,Pancreatic cancer,1,1.01,1
1991,Female,Pancreatic cancer,0.94,0.9,0.91
1992,Female,Pancreatic cancer,0.97,0.97,0.96
1993,Female,Pancreatic cancer,0.95,0.94,0.94
1994,Female,Pancreatic cancer,0.93,0.9,0.91
1995,Female,Pancreatic cancer,0.94,0.94,0.93
1996,Female,Pancreatic cancer,0.99,0.95,0.96
1997,Female,Pancreatic cancer,0.95,0.92,0.93
1998,Female,Pancreatic cancer,0.88,0.87,0.87
1999,Female,Pancreatic cancer,0.93,0.93,0.93
2000,Female,Pancreatic cancer,0.92,0.9,0.91
2001,Female,Pancreatic cancer,0.93,0.89,0.9
2002,Female,Pancreatic cancer,0.93,0.9,0.91
2003,Female,Pancreatic cancer,0.93,0.91,0.92
2004,Female,Pancreatic cancer,0.89,0.84,0.86
2005,Female,Pancreatic cancer,0.98,0.97,0.97
2006,Female,Pancreatic cancer,0.91,0.87,0.89
2007,Female,Pancreatic cancer,0.84,0.83,0.83
2008,Female,Pancreatic cancer,0.91,0.88,0.89
2009,Female,Pancreatic cancer,0.85,0.81,0.83
2010,Female,Pancreatic cancer,0.95,0.91,0.93
2011,Female,Pancreatic cancer,,,
1968,Persons,Pancreatic cancer,,,
1969,Persons,Pancreatic cancer,,,
1970,Persons,Pancreatic cancer,,,
1971,Persons,Pancreatic cancer,,,
1972,Persons,Pancreatic cancer,,,
1973,Persons,Pancreatic cancer,,,
1974,Persons,Pancreatic cancer,,,
1975,Persons,Pancreatic cancer,,,
1976,Persons,Pancreatic cancer,,,
1977,Persons,Pancreatic cancer,,,
1978,Persons,Pancreatic cancer,,,
1979,Persons,Pancreatic cancer,,,
1980,Persons,Pancreatic cancer,,,
1981,Persons,Pancreatic cancer,,,
1982,Persons,Pancreatic cancer,0.97,0.97,0.97
1983,Persons,Pancreatic cancer,0.98,0.97,0.97
1984,Persons,Pancreatic cancer,0.99,0.98,0.98
1985,Persons,Pancreatic cancer,0.99,0.98,0.99
1986,Persons,Pancreatic cancer,0.95,0.93,0.94
1987,Persons,Pancreatic cancer,1.01,1.01,1.01
1988,Persons,Pancreatic cancer,0.95,0.93,0.94
1989,Persons,Pancreatic cancer,1.03,1,1.01
1990,Persons,Pancreatic cancer,0.98,0.97,0.98
1991,Persons,Pancreatic cancer,0.96,0.94,0.94
1992,Persons,Pancreatic cancer,0.96,0.96,0.96
1993,Persons,Pancreatic cancer,0.97,0.97,0.96
1994,Persons,Pancreatic cancer,0.93,0.91,0.92
1995,Persons,Pancreatic cancer,0.96,0.96,0.96
1996,Persons,Pancreatic cancer,0.96,0.92,0.94
1997,Persons,Pancreatic cancer,0.94,0.91,0.92
1998,Persons,Pancreatic cancer,0.9,0.89,0.9
1999,Persons,Pancreatic cancer,0.93,0.91,0.92
2000,Persons,Pancreatic cancer,0.92,0.91,0.91
2001,Persons,Pancreatic cancer,0.95,0.92,0.93
2002,Persons,Pancreatic cancer,0.97,0.95,0.96
2003,Persons,Pancreatic cancer,0.9,0.88,0.89
2004,Persons,Pancreatic cancer,0.94,0.91,0.93
2005,Persons,Pancreatic cancer,0.9,0.89,0.89
2006,Persons,Pancreatic cancer,0.9,0.86,0.88
2007,Persons,Pancreatic cancer,0.87,0.86,0.86
2008,Persons,Pancreatic cancer,0.91,0.9,0.9
2009,Persons,Pancreatic cancer,0.86,0.83,0.84
2010,Persons,Pancreatic cancer,0.91,0.88,0.89
2011,Persons,Pancreatic cancer,,,
1968,Male,Prostate cancer,,,
1969,Male,Prostate cancer,,,
1970,Male,Prostate cancer,,,
1971,Male,Prostate cancer,,,
1972,Male,Prostate cancer,,,
1973,Male,Prostate cancer,,,
1974,Male,Prostate cancer,,,
1975,Male,Prostate cancer,,,
1976,Male,Prostate cancer,,,
1977,Male,Prostate cancer,,,
1978,Male,Prostate cancer,,,
1979,Male,Prostate cancer,,,
1980,Male,Prostate cancer,,,
1981,Male,Prostate cancer,,,
1982,Male,Prostate cancer,0.43,0.39,0.4
1983,Male,Prostate cancer,0.43,0.38,0.4
1984,Male,Prostate cancer,0.42,0.38,0.39
1985,Male,Prostate cancer,0.43,0.38,0.4
1986,Male,Prostate cancer,0.43,0.38,0.4
1987,Male,Prostate cancer,0.44,0.39,0.41
1988,Male,Prostate cancer,0.44,0.39,0.41
1989,Male,Prostate cancer,0.43,0.38,0.4
1990,Male,Prostate cancer,0.39,0.33,0.35
1991,Male,Prostate cancer,0.36,0.31,0.33
1992,Male,Prostate cancer,0.33,0.29,0.3
1993,Male,Prostate cancer,0.26,0.22,0.24
1994,Male,Prostate cancer,0.24,0.18,0.2
1995,Male,Prostate cancer,0.24,0.19,0.21
1996,Male,Prostate cancer,0.3,0.23,0.25
1997,Male,Prostate cancer,0.28,0.22,0.24
1998,Male,Prostate cancer,0.29,0.22,0.25
1999,Male,Prostate cancer,0.27,0.2,0.23
2000,Male,Prostate cancer,0.28,0.21,0.23
2001,Male,Prostate cancer,0.27,0.2,0.22
2002,Male,Prostate cancer,0.26,0.19,0.22
2003,Male,Prostate cancer,0.23,0.17,0.19
2004,Male,Prostate cancer,0.2,0.14,0.16
2005,Male,Prostate cancer,0.2,0.14,0.16
2006,Male,Prostate cancer,0.19,0.13,0.15
2007,Male,Prostate cancer,0.17,0.12,0.13
2008,Male,Prostate cancer,0.16,0.11,0.12
2009,Male,Prostate cancer,0.16,0.11,0.13
2010,Male,Prostate cancer,0.18,0.12,0.14
2011,Male,Prostate cancer,,,
1968,Female,Prostate cancer,,,
1969,Female,Prostate cancer,,,
1970,Female,Prostate cancer,,,
1971,Female,Prostate cancer,,,
1972,Female,Prostate cancer,,,
1973,Female,Prostate cancer,,,
1974,Female,Prostate cancer,,,
1975,Female,Prostate cancer,,,
1976,Female,Prostate cancer,,,
1977,Female,Prostate cancer,,,
1978,Female,Prostate cancer,,,
1979,Female,Prostate cancer,,,
1980,Female,Prostate cancer,,,
1981,Female,Prostate cancer,,,
1982,Female,Prostate cancer,,,
1983,Female,Prostate cancer,,,
1984,Female,Prostate cancer,,,
1985,Female,Prostate cancer,,,
1986,Female,Prostate cancer,,,
1987,Female,Prostate cancer,,,
1988,Female,Prostate cancer,,,
1989,Female,Prostate cancer,,,
1990,Female,Prostate cancer,,,
1991,Female,Prostate cancer,,,
1992,Female,Prostate cancer,,,
1993,Female,Prostate cancer,,,
1994,Female,Prostate cancer,,,
1995,Female,Prostate cancer,,,
1996,Female,Prostate cancer,,,
1997,Female,Prostate cancer,,,
1998,Female,Prostate cancer,,,
1999,Female,Prostate cancer,,,
2000,Female,Prostate cancer,,,
2001,Female,Prostate cancer,,,
2002,Female,Prostate cancer,,,
2003,Female,Prostate cancer,,,
2004,Female,Prostate cancer,,,
2005,Female,Prostate cancer,,,
2006,Female,Prostate cancer,,,
2007,Female,Prostate cancer,,,
2008,Female,Prostate cancer,,,
2009,Female,Prostate cancer,,,
2010,Female,Prostate cancer,,,
2011,Female,Prostate cancer,,,
1968,Persons,Prostate cancer,,,
1969,Persons,Prostate cancer,,,
1970,Persons,Prostate cancer,,,
1971,Persons,Prostate cancer,,,
1972,Persons,Prostate cancer,,,
1973,Persons,Prostate cancer,,,
1974,Persons,Prostate cancer,,,
1975,Persons,Prostate cancer,,,
1976,Persons,Prostate cancer,,,
1977,Persons,Prostate cancer,,,
1978,Persons,Prostate cancer,,,
1979,Persons,Prostate cancer,,,
1980,Persons,Prostate cancer,,,
1981,Persons,Prostate cancer,,,
1982,Persons,Prostate cancer,,,
1983,Persons,Prostate cancer,,,
1984,Persons,Prostate cancer,,,
1985,Persons,Prostate cancer,,,
1986,Persons,Prostate cancer,,,
1987,Persons,Prostate cancer,,,
1988,Persons,Prostate cancer,,,
1989,Persons,Prostate cancer,,,
1990,Persons,Prostate cancer,,,
1991,Persons,Prostate cancer,,,
1992,Persons,Prostate cancer,,,
1993,Persons,Prostate cancer,,,
1994,Persons,Prostate cancer,,,
1995,Persons,Prostate cancer,,,
1996,Persons,Prostate cancer,,,
1997,Persons,Prostate cancer,,,
1998,Persons,Prostate cancer,,,
1999,Persons,Prostate cancer,,,
2000,Persons,Prostate cancer,,,
2001,Persons,Prostate cancer,,,
2002,Persons,Prostate cancer,,,
2003,Persons,Prostate cancer,,,
2004,Persons,Prostate cancer,,,
2005,Persons,Prostate cancer,,,
2006,Persons,Prostate cancer,,,
2007,Persons,Prostate cancer,,,
2008,Persons,Prostate cancer,,,
2009,Persons,Prostate cancer,,,
2010,Persons,Prostate cancer,,,
2011,Persons,Prostate cancer,,,
1968,Male,Rectal cancer,,,
1969,Male,Rectal cancer,,,
1970,Male,Rectal cancer,,,
1971,Male,Rectal cancer,,,
1972,Male,Rectal cancer,,,
1973,Male,Rectal cancer,,,
1974,Male,Rectal cancer,,,
1975,Male,Rectal cancer,,,
1976,Male,Rectal cancer,,,
1977,Male,Rectal cancer,,,
1978,Male,Rectal cancer,,,
1979,Male,Rectal cancer,,,
1980,Male,Rectal cancer,,,
1981,Male,Rectal cancer,,,
1982,Male,Rectal cancer,0.4,0.37,0.38
1983,Male,Rectal cancer,0.45,0.4,0.42
1984,Male,Rectal cancer,0.41,0.38,0.39
1985,Male,Rectal cancer,0.44,0.39,0.41
1986,Male,Rectal cancer,0.41,0.39,0.39
1987,Male,Rectal cancer,0.42,0.38,0.39
1988,Male,Rectal cancer,0.41,0.37,0.38
1989,Male,Rectal cancer,0.37,0.34,0.35
1990,Male,Rectal cancer,0.36,0.34,0.35
1991,Male,Rectal cancer,0.34,0.32,0.33
1992,Male,Rectal cancer,0.35,0.32,0.33
1993,Male,Rectal cancer,0.34,0.31,0.32
1994,Male,Rectal cancer,0.32,0.3,0.3
1995,Male,Rectal cancer,0.32,0.29,0.3
1996,Male,Rectal cancer,0.27,0.25,0.26
1997,Male,Rectal cancer,0.29,0.27,0.28
1998,Male,Rectal cancer,0.32,0.29,0.3
1999,Male,Rectal cancer,0.3,0.28,0.29
2000,Male,Rectal cancer,0.3,0.28,0.28
2001,Male,Rectal cancer,0.32,0.3,0.31
2002,Male,Rectal cancer,0.31,0.28,0.29
2003,Male,Rectal cancer,0.31,0.28,0.29
2004,Male,Rectal cancer,0.28,0.25,0.26
2005,Male,Rectal cancer,0.34,0.31,0.32
2006,Male,Rectal cancer,0.3,0.28,0.29
2007,Male,Rectal cancer,0.31,0.28,0.29
2008,Male,Rectal cancer,0.32,0.28,0.29
2009,Male,Rectal cancer,0.35,0.32,0.33
2010,Male,Rectal cancer,0.36,0.31,0.33
2011,Male,Rectal cancer,,,
1968,Female,Rectal cancer,,,
1969,Female,Rectal cancer,,,
1970,Female,Rectal cancer,,,
1971,Female,Rectal cancer,,,
1972,Female,Rectal cancer,,,
1973,Female,Rectal cancer,,,
1974,Female,Rectal cancer,,,
1975,Female,Rectal cancer,,,
1976,Female,Rectal cancer,,,
1977,Female,Rectal cancer,,,
1978,Female,Rectal cancer,,,
1979,Female,Rectal cancer,,,
1980,Female,Rectal cancer,,,
1981,Female,Rectal cancer,,,
1982,Female,Rectal cancer,0.38,0.34,0.35
1983,Female,Rectal cancer,0.39,0.35,0.36
1984,Female,Rectal cancer,0.39,0.35,0.36
1985,Female,Rectal cancer,0.39,0.34,0.36
1986,Female,Rectal cancer,0.4,0.37,0.38
1987,Female,Rectal cancer,0.37,0.32,0.33
1988,Female,Rectal cancer,0.35,0.32,0.33
1989,Female,Rectal cancer,0.32,0.29,0.3
1990,Female,Rectal cancer,0.33,0.29,0.3
1991,Female,Rectal cancer,0.35,0.32,0.33
1992,Female,Rectal cancer,0.29,0.27,0.28
1993,Female,Rectal cancer,0.35,0.3,0.32
1994,Female,Rectal cancer,0.27,0.24,0.25
1995,Female,Rectal cancer,0.3,0.27,0.28
1996,Female,Rectal cancer,0.27,0.24,0.25
1997,Female,Rectal cancer,0.29,0.27,0.27
1998,Female,Rectal cancer,0.32,0.3,0.3
1999,Female,Rectal cancer,0.31,0.29,0.3
2000,Female,Rectal cancer,0.28,0.26,0.27
2001,Female,Rectal cancer,0.3,0.28,0.29
2002,Female,Rectal cancer,0.31,0.28,0.29
2003,Female,Rectal cancer,0.3,0.27,0.28
2004,Female,Rectal cancer,0.31,0.29,0.29
2005,Female,Rectal cancer,0.33,0.29,0.3
2006,Female,Rectal cancer,0.29,0.27,0.27
2007,Female,Rectal cancer,0.31,0.29,0.29
2008,Female,Rectal cancer,0.34,0.32,0.32
2009,Female,Rectal cancer,0.36,0.32,0.33
2010,Female,Rectal cancer,0.4,0.35,0.37
2011,Female,Rectal cancer,,,
1968,Persons,Rectal cancer,,,
1969,Persons,Rectal cancer,,,
1970,Persons,Rectal cancer,,,
1971,Persons,Rectal cancer,,,
1972,Persons,Rectal cancer,,,
1973,Persons,Rectal cancer,,,
1974,Persons,Rectal cancer,,,
1975,Persons,Rectal cancer,,,
1976,Persons,Rectal cancer,,,
1977,Persons,Rectal cancer,,,
1978,Persons,Rectal cancer,,,
1979,Persons,Rectal cancer,,,
1980,Persons,Rectal cancer,,,
1981,Persons,Rectal cancer,,,
1982,Persons,Rectal cancer,0.39,0.36,0.37
1983,Persons,Rectal cancer,0.41,0.37,0.39
1984,Persons,Rectal cancer,0.4,0.37,0.38
1985,Persons,Rectal cancer,0.42,0.37,0.38
1986,Persons,Rectal cancer,0.4,0.38,0.38
1987,Persons,Rectal cancer,0.39,0.35,0.36
1988,Persons,Rectal cancer,0.38,0.35,0.36
1989,Persons,Rectal cancer,0.35,0.32,0.33
1990,Persons,Rectal cancer,0.35,0.32,0.33
1991,Persons,Rectal cancer,0.35,0.32,0.33
1992,Persons,Rectal cancer,0.32,0.3,0.3
1993,Persons,Rectal cancer,0.34,0.3,0.31
1994,Persons,Rectal cancer,0.3,0.27,0.28
1995,Persons,Rectal cancer,0.3,0.28,0.29
1996,Persons,Rectal cancer,0.27,0.25,0.25
1997,Persons,Rectal cancer,0.29,0.27,0.27
1998,Persons,Rectal cancer,0.32,0.29,0.3
1999,Persons,Rectal cancer,0.3,0.28,0.29
2000,Persons,Rectal cancer,0.29,0.27,0.27
2001,Persons,Rectal cancer,0.31,0.29,0.3
2002,Persons,Rectal cancer,0.31,0.28,0.29
2003,Persons,Rectal cancer,0.31,0.28,0.29
2004,Persons,Rectal cancer,0.29,0.26,0.27
2005,Persons,Rectal cancer,0.33,0.3,0.31
2006,Persons,Rectal cancer,0.29,0.27,0.28
2007,Persons,Rectal cancer,0.31,0.28,0.29
2008,Persons,Rectal cancer,0.32,0.29,0.3
2009,Persons,Rectal cancer,0.35,0.32,0.33
2010,Persons,Rectal cancer,0.37,0.33,0.34
2011,Persons,Rectal cancer,,,
1968,Male,Stomach cancer,,,
1969,Male,Stomach cancer,,,
1970,Male,Stomach cancer,,,
1971,Male,Stomach cancer,,,
1972,Male,Stomach cancer,,,
1973,Male,Stomach cancer,,,
1974,Male,Stomach cancer,,,
1975,Male,Stomach cancer,,,
1976,Male,Stomach cancer,,,
1977,Male,Stomach cancer,,,
1978,Male,Stomach cancer,,,
1979,Male,Stomach cancer,,,
1980,Male,Stomach cancer,,,
1981,Male,Stomach cancer,,,
1982,Male,Stomach cancer,0.79,0.77,0.77
1983,Male,Stomach cancer,0.79,0.74,0.75
1984,Male,Stomach cancer,0.74,0.69,0.71
1985,Male,Stomach cancer,0.77,0.73,0.74
1986,Male,Stomach cancer,0.79,0.76,0.77
1987,Male,Stomach cancer,0.75,0.71,0.72
1988,Male,Stomach cancer,0.79,0.73,0.76
1989,Male,Stomach cancer,0.77,0.72,0.74
1990,Male,Stomach cancer,0.68,0.64,0.65
1991,Male,Stomach cancer,0.71,0.65,0.67
1992,Male,Stomach cancer,0.66,0.63,0.64
1993,Male,Stomach cancer,0.67,0.63,0.65
1994,Male,Stomach cancer,0.71,0.68,0.69
1995,Male,Stomach cancer,0.67,0.63,0.64
1996,Male,Stomach cancer,0.66,0.62,0.63
1997,Male,Stomach cancer,0.66,0.62,0.64
1998,Male,Stomach cancer,0.64,0.6,0.62
1999,Male,Stomach cancer,0.59,0.57,0.58
2000,Male,Stomach cancer,0.62,0.59,0.6
2001,Male,Stomach cancer,0.65,0.61,0.62
2002,Male,Stomach cancer,0.66,0.6,0.62
2003,Male,Stomach cancer,0.57,0.54,0.56
2004,Male,Stomach cancer,0.58,0.55,0.56
2005,Male,Stomach cancer,0.57,0.53,0.55
2006,Male,Stomach cancer,0.55,0.5,0.52
2007,Male,Stomach cancer,0.6,0.56,0.58
2008,Male,Stomach cancer,0.55,0.52,0.53
2009,Male,Stomach cancer,0.53,0.5,0.51
2010,Male,Stomach cancer,0.57,0.52,0.54
2011,Male,Stomach cancer,,,
1968,Female,Stomach cancer,,,
1969,Female,Stomach cancer,,,
1970,Female,Stomach cancer,,,
1971,Female,Stomach cancer,,,
1972,Female,Stomach cancer,,,
1973,Female,Stomach cancer,,,
1974,Female,Stomach cancer,,,
1975,Female,Stomach cancer,,,
1976,Female,Stomach cancer,,,
1977,Female,Stomach cancer,,,
1978,Female,Stomach cancer,,,
1979,Female,Stomach cancer,,,
1980,Female,Stomach cancer,,,
1981,Female,Stomach cancer,,,
1982,Female,Stomach cancer,0.78,0.75,0.76
1983,Female,Stomach cancer,0.81,0.76,0.78
1984,Female,Stomach cancer,0.87,0.81,0.83
1985,Female,Stomach cancer,0.77,0.75,0.75
1986,Female,Stomach cancer,0.79,0.74,0.75
1987,Female,Stomach cancer,0.76,0.72,0.73
1988,Female,Stomach cancer,0.83,0.77,0.79
1989,Female,Stomach cancer,0.81,0.77,0.77
1990,Female,Stomach cancer,0.79,0.75,0.76
1991,Female,Stomach cancer,0.73,0.7,0.71
1992,Female,Stomach cancer,0.76,0.72,0.73
1993,Female,Stomach cancer,0.71,0.67,0.69
1994,Female,Stomach cancer,0.73,0.69,0.71
1995,Female,Stomach cancer,0.67,0.62,0.63
1996,Female,Stomach cancer,0.72,0.69,0.7
1997,Female,Stomach cancer,0.64,0.61,0.62
1998,Female,Stomach cancer,0.64,0.61,0.62
1999,Female,Stomach cancer,0.67,0.64,0.65
2000,Female,Stomach cancer,0.59,0.54,0.55
2001,Female,Stomach cancer,0.67,0.62,0.64
2002,Female,Stomach cancer,0.63,0.6,0.61
2003,Female,Stomach cancer,0.72,0.67,0.68
2004,Female,Stomach cancer,0.62,0.59,0.6
2005,Female,Stomach cancer,0.55,0.51,0.53
2006,Female,Stomach cancer,0.66,0.62,0.63
2007,Female,Stomach cancer,0.63,0.61,0.62
2008,Female,Stomach cancer,0.57,0.53,0.54
2009,Female,Stomach cancer,0.61,0.57,0.58
2010,Female,Stomach cancer,0.53,0.5,0.51
2011,Female,Stomach cancer,,,
1968,Persons,Stomach cancer,,,
1969,Persons,Stomach cancer,,,
1970,Persons,Stomach cancer,,,
1971,Persons,Stomach cancer,,,
1972,Persons,Stomach cancer,,,
1973,Persons,Stomach cancer,,,
1974,Persons,Stomach cancer,,,
1975,Persons,Stomach cancer,,,
1976,Persons,Stomach cancer,,,
1977,Persons,Stomach cancer,,,
1978,Persons,Stomach cancer,,,
1979,Persons,Stomach cancer,,,
1980,Persons,Stomach cancer,,,
1981,Persons,Stomach cancer,,,
1982,Persons,Stomach cancer,0.78,0.75,0.76
1983,Persons,Stomach cancer,0.79,0.74,0.76
1984,Persons,Stomach cancer,0.79,0.73,0.75
1985,Persons,Stomach cancer,0.76,0.73,0.74
1986,Persons,Stomach cancer,0.78,0.75,0.76
1987,Persons,Stomach cancer,0.74,0.7,0.72
1988,Persons,Stomach cancer,0.8,0.74,0.76
1989,Persons,Stomach cancer,0.78,0.73,0.75
1990,Persons,Stomach cancer,0.71,0.67,0.68
1991,Persons,Stomach cancer,0.71,0.66,0.67
1992,Persons,Stomach cancer,0.69,0.65,0.67
1993,Persons,Stomach cancer,0.68,0.64,0.65
1994,Persons,Stomach cancer,0.72,0.68,0.7
1995,Persons,Stomach cancer,0.66,0.62,0.63
1996,Persons,Stomach cancer,0.67,0.64,0.65
1997,Persons,Stomach cancer,0.65,0.61,0.63
1998,Persons,Stomach cancer,0.63,0.6,0.61
1999,Persons,Stomach cancer,0.62,0.59,0.6
2000,Persons,Stomach cancer,0.6,0.57,0.58
2001,Persons,Stomach cancer,0.65,0.61,0.62
2002,Persons,Stomach cancer,0.64,0.59,0.61
2003,Persons,Stomach cancer,0.62,0.59,0.6
2004,Persons,Stomach cancer,0.59,0.56,0.57
2005,Persons,Stomach cancer,0.56,0.52,0.54
2006,Persons,Stomach cancer,0.58,0.53,0.55
2007,Persons,Stomach cancer,0.6,0.58,0.59
2008,Persons,Stomach cancer,0.55,0.52,0.53
2009,Persons,Stomach cancer,0.56,0.52,0.53
2010,Persons,Stomach cancer,0.55,0.51,0.53
2011,Persons,Stomach cancer,,,
1968,Male,Testicular cancer,,,
1969,Male,Testicular cancer,,,
1970,Male,Testicular cancer,,,
1971,Male,Testicular cancer,,,
1972,Male,Testicular cancer,,,
1973,Male,Testicular cancer,,,
1974,Male,Testicular cancer,,,
1975,Male,Testicular cancer,,,
1976,Male,Testicular cancer,,,
1977,Male,Testicular cancer,,,
1978,Male,Testicular cancer,,,
1979,Male,Testicular cancer,,,
1980,Male,Testicular cancer,,,
1981,Male,Testicular cancer,,,
1982,Male,Testicular cancer,0.11,0.11,0.11
1983,Male,Testicular cancer,0.17,0.14,0.15
1984,Male,Testicular cancer,0.15,0.12,0.13
1985,Male,Testicular cancer,0.1,0.09,0.09
1986,Male,Testicular cancer,0.11,0.1,0.09
1987,Male,Testicular cancer,0.08,0.07,0.07
1988,Male,Testicular cancer,0.11,0.09,0.1
1989,Male,Testicular cancer,0.08,0.07,0.07
1990,Male,Testicular cancer,0.08,0.07,0.07
1991,Male,Testicular cancer,0.07,0.06,0.06
1992,Male,Testicular cancer,0.06,0.05,0.05
1993,Male,Testicular cancer,0.03,0.03,0.03
1994,Male,Testicular cancer,0.05,0.05,0.05
1995,Male,Testicular cancer,0.08,0.07,0.07
1996,Male,Testicular cancer,0.06,0.05,0.05
1997,Male,Testicular cancer,0.04,0.04,0.04
1998,Male,Testicular cancer,0.04,0.04,0.04
1999,Male,Testicular cancer,0.06,0.05,0.05
2000,Male,Testicular cancer,0.03,0.03,0.03
2001,Male,Testicular cancer,0.03,0.02,0.02
2002,Male,Testicular cancer,0.04,0.03,0.04
